Occupation_x	Occupation_y	summary	sampleTitles
Aircraft Structure, Surfaces, Rigging, and Systems Assemblers	Aircraft Structure, Surfaces, Rigging, and Systems Assemblers	Assemble, fit, fasten, and install parts of airplanes, space vehicles, or missiles, such as tails, wings, fuselage, bulkheads, stabilizers, landing gear, rigging and control equipment, or heating and ventilating systems.	A&P Technician (Airframe and Powerplant Technician), Aircraft Line Assembler, Assembler, Assembly Riveter, Fabricator, Helicopter Technician, Sheet Metal Assembler and Riveter (SMAR), Sheet Metal Mechanic, Structures Mechanic, Structures Technician
Assemblers and Fabricators, All Other	Assemblers and Fabricators, All Other	All assemblers and fabricators not listed separately.	none
Bakers	Bakers	Mix and bake ingredients to produce breads, rolls, cookies, cakes, pies, pastries, or other baked goods.	Baker, Bakery Clerk, Bakery Manager, Cake Decorator, Dough Mixer, Machine Operator, Mixer, Pastry Chef, Processor, Scaler
Biofuels Processing Technicians	Biofuels Processing Technicians	Calculate, measure, load, mix, and process refined feedstock with additives in fermentation or reaction process vessels and monitor production process. Perform, and keep records of, plant maintenance, repairs, and safety inspections.	Biofuels Processing Technician, Board Operator, Chemical Operator, Ethanol Operator, Kettle Operator, Mash Preparatory Operator, Operator, Process Operator, Process Technician, Production Operator
Biomass Plant Technicians	Biomass Plant Technicians	Control and monitor biomass plant activities and perform maintenance as needed.	Auxiliary Engineer, Auxiliary Operator, Biomass Facilitator, Boiler Operator, Control Room Operator, Equipment Operator, Fuel Handler, Fuel Quality Tech, Instrumentation and Controls Technician, Plant Operator
Hydroelectric Plant Technicians	Hydroelectric Plant Technicians	Monitor and control activities associated with hydropower generation. Operate plant equipment, such as turbines, pumps, valves, gates, fans, electric control boards, and battery banks. Monitor equipment operation and performance and make necessary adjustments to ensure optimal performance. Perform equipment maintenance and repair as necessary.	Hydro Operations and Maintenance Technician (Hydro O&M Technician), Hydro Plant Technician, Hydro Technician, Hydroelectric Mechanic, Hydroelectric Plant Technician, Operations and Maintenance Technican (O&M Technician), Plant Mechanic, Power Plant Mechanic, Power Plant Operator, Power Plant Technician
Methane/Landfill Gas Generation System Technicians	Methane/Landfill Gas Generation System Technicians	Monitor, operate, and maintain landfill gas collection system components and environmental monitoring and control systems.	tion for which data collection is currently underway.
Plant and System Operators, All Other	Plant and System Operators, All Other	All plant and system operators not listed separately.	none
Butchers and Meat Cutters	Butchers and Meat Cutters	Cut, trim, or prepare consumer-sized portions of meat for use or sale in retail establishments.	Butcher, Journeyman Meat Cutter, Meat Clerk, Meat Cutter, Meat Department Manager, Meat Manager, Meat Specialist, Meat Trimmer, Meat Wrapper, Seafood and Service Meat Manager
Cabinetmakers and Bench Carpenters	Cabinetmakers and Bench Carpenters	Cut, shape, and assemble wooden articles or set up and operate a variety of woodworking machines, such as power saws, jointers, and mortisers to surface, cut, or shape lumber or to fabricate parts for wood products.	Cabinet Assembler, Cabinet Builder, Cabinet Installer, Cabinetmaker, Cutter, Double End Tenon Operator, Frame Builder, Framer, Machine Operator, Woodworker
Chemical Equipment Operators and Tenders	Chemical Equipment Operators and Tenders	Operate or tend equipment to control chemical changes or reactions in the processing of industrial or consumer products. Equipment used includes devulcanizers, steam-jacketed kettles, and reactor vessels.	Chemical Operator, Chlorination Operator, Multiskill Operator, Operator, Outside Operator, Process Operator, Production Operator, Production Technician, Spray Dry Operator, Vessel Operator
Chemical Plant and System Operators	Chemical Plant and System Operators	Control or operate entire chemical processes or system of machines.	Chemical Operator, Loader Technician, Machine Operator, Operations Technician, Operator, Process Control Operator, Process Development Associate, Process Operator, Process Technician, Production Technician
Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders	Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders	Operate or tend machines to wash or clean products, such as barrels or kegs, glass items, tin plate, food, pulp, coal, plastic, or rubber, to remove impurities.	Clean in Places Operator (CIP Operator), Equipment Cleaner, Machine Operator, Pickle House Operator, Sanitation Technician, Sanitizer, Tank Washer, Tub Wash Operator, Tub Washer, Wash Crew Person
Coating, Painting, and Spraying Machine Setters, Operators, and Tenders	Coating, Painting, and Spraying Machine Setters, Operators, and Tenders	Set up, operate, or tend machines to coat or paint any of a wide variety of products, including glassware, cloth, ceramics, metal, plastic, paper, or wood, with lacquer, silver, copper, rubber, varnish, glaze, enamel, oil, or rust-proofing materials.	Coater Adjuster, Coater Operator, Hand Sprayer, Industrial Painter, Machine Operator, Painter, Powder Coater, Press Operator, Silk Screen Operator, Spray Painter
Coil Winders, Tapers, and Finishers	Coil Winders, Tapers, and Finishers	Wind wire coils used in electrical components, such as resistors and transformers, and in electrical equipment and instruments, such as field cores, bobbins, armature cores, electrical motors, generators, and control equipment.	Armature Winder, Assembler, Auto-Winder, Cell Worker, Coil Finisher, Coil Winder, Winder Operator
Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic	Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic	Develop programs to control machining or processing of metal or plastic parts by automatic machine tools, equipment, or systems.	CAD CAM Programmer (Computer-Aided Design Computer-Aided Manufacturing Programmer), Computer Numerical Control Machine Operator (CNC Machine Operator), Computer Numerical Control Machining Center Operator (CNC Machining Center Operator), Computer Numerical Control Machinist (CNC Machinist), Computer Numerical Control Operator (CNC Operator), Computer Numerical Control Programmer (CNC Programmer), Machine Shop Lead Man, Machining Manager, Process Engineer, Programmer
Computer-Controlled Machine Tool Operators, Metal and Plastic	Computer-Controlled Machine Tool Operators, Metal and Plastic	Operate computer-controlled machines or robots to perform one or more machine functions on metal or plastic work pieces.	Brake Press Operator; Computer Numerical Control Lathe Operator (CNC Lathe Operator); Computer Numerical Control Machine Operator (CNC Machine Operator); Computer Numerical Control Machinist (CNC Machinist); Computer Numerical Control Mill Operator (CNC Mill Operator); Computer Numerical Control Operator (CNC Operator); Computer Numerical Control Set-Up and Operator (CNC Set-Up and Operator); Machine Operator; Machine Set-Up, Operator; Machinist
Cooling and Freezing Equipment Operators and Tenders	Cooling and Freezing Equipment Operators and Tenders	Operate or tend equipment, such as cooling and freezing units, refrigerators, batch freezers, and freezing tunnels, to cool or freeze products, food, blood plasma, and chemicals.	Compressor Operator, Compressor Room Operator, Engine Room Operator, Freezer Operator, Freezer Person, Machine Operator, Production Operator, Refrigeration Lead, Refrigeration Operator, Refrigeration Technician
Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders	Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders	Set up, operate, or tend machines to crush, grind, or polish materials, such as coal, glass, grain, stone, food, or rubber.	Batch Mixer, Crusher Operator, Cullet Trucker, Fabricator, Grinder Operator, Machine Operator, Mill Operator, Miller, Preparation Operator (Prep Operator), Process Operator
Cutters and Trimmers, Hand	Cutters and Trimmers, Hand	Use hand tools or hand-held power tools to cut and trim a variety of manufactured items, such as carpet, fabric, stone, glass, or rubber.	Bundler, Cloth Cutter, Cutter, Embroidery Operator, Fabric Cutter, Finisher, Glass Cutter, Hand Cutter, Leather Cutter, Trimmer
Cutting and Slicing Machine Setters, Operators, and Tenders	Cutting and Slicing Machine Setters, Operators, and Tenders	Set up, operate, or tend machines that cut or slice materials, such as glass, stone, cork, rubber, tobacco, food, paper, or insulating material.	Cutter, Cutter Operator, Cutting Pressman, Die Cutter Operator, Flat Cutter, Machine Operator, Paper Cutter, Sheeter, Skiver Operator, Slitter
Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic	Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic	Set up, operate, or tend machines to saw, cut, shear, slit, punch, crimp, notch, bend, or straighten metal or plastic material.	Die Setter, Fabrication Operator, Machine Operator, Machine Setter, Operator, Press Operator, Punch Press Operator, Saw Operator, Set-Up Operator, Slitter Operator
Dental Laboratory Technicians	Dental Laboratory Technicians	Construct and repair full or partial dentures or dental appliances.	Crown and Bridge Dental Lab Technician, Dental Ceramist, Dental Laboratory Technician (Dental Lab Technician), Dental Technician (Dental Tech), Denture Technician, Metal Finisher, Model and Dye Person, Orthodontic Laboratory Technician (Orthodontic Lab Technician), Porcelain Technician, Waxer
Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic	Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic	Set up, operate, or tend drilling machines to drill, bore, ream, mill, or countersink metal or plastic work pieces.	Bore Mill Operator, Computer Numerical Control Drilling Operator (CNC Drilling Operator), Drill Operator, Drill Press Operator, Drill Setup Operator, Driller, Machine Operator, Machinist, Punch Operator, Radial Drill Operator
Electrical and Electronic Equipment Assemblers	Electrical and Electronic Equipment Assemblers	Assemble or modify electrical or electronic equipment, such as computers, test equipment telemetering systems, electric motors, and batteries.	Assembler; Assembly Worker; Electrical Assembler; Electronic Assembler, Group Leader; Electronics Assembler; Factory Assembler; Factory Worker; Manufacturing Assembler; Production Worker; Transformer Assembler
Electromechanical Equipment Assemblers	Electromechanical Equipment Assemblers	Assemble or modify electromechanical equipment or devices, such as servomechanisms, gyros, dynamometers, magnetic drums, tape drives, brakes, control linkage, actuators, and appliances.	Assembler, Assembly Line Worker, Electrical Assembler, Electromechanical Assembler, Electromechanical Equipment Assembler, Electronic Assembler, Electronic Technician, Electronics Assembler, Mechanical Assembler, Wiring Technician
Engine and Other Machine Assemblers	Engine and Other Machine Assemblers	Construct, assemble, or rebuild machines, such as engines, turbines, and similar equipment used in such industries as construction, extraction, textiles, and paper manufacturing.	Assembler, Assembly Line Worker, Cell Technician, Engine Assembler, Engine Builder, Field Service Technician, Fitter, Large Engine Assembler, Machine Assembler, Mechanical Assembler
Etchers and Engravers	Etchers and Engravers	Engrave or etch metal, wood, rubber, or other materials. Includes such workers as etcher-circuit processors, pantograph engravers, and silk screen etchers.	Acid Etch Operator, Computer Engraver, Electronic Engraver Operator, Engraver, Etcher, Laser Engraver, Mechanical Engraver Operator, Metals Engraver, Photo Engraver, Screen Making Technician
Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic	Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic	Set up, operate, or tend machines to extrude or draw thermoplastic or metal materials into tubes, rods, hoses, wire, bars, or structural shapes.	Equipment Technician, Extruder Operator, Extrusion Operator, Extrusion Press Operator, Machine Operator, Metal Inspector, Operator, Setup Operator, Wire Mill Operator, Wire Mill Rover
Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers	Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers	Set up, operate, or tend machines that extrude and form continuous filaments from synthetic materials, such as liquid polymer, rayon, and fiberglass.	Control Room Operator, Extruder Operator, Extrusion Line Operator, Extrusion Operator, Hot End Operator, Line Technician, Pelletizer Operator, Process Operator, Process Technician, Spindraw Operator
Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders	Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders	Set up, operate, or tend machines, such as glass forming machines, plodder machines, and tuber machines, to shape and form products, such as glassware, food, rubber, soap, brick, tile, clay, wax, tobacco, or cosmetics.	Extruder Operator, Extrusion Operator, Glass Forming Crew Member, Job Change Crew Member, Machine Operator, Operator, Press Operator, Production Operator, Tuber Operator, Upkeep Mechanic
Fabric and Apparel Patternmakers	Fabric and Apparel Patternmakers	Draw and construct sets of precision master fabric patterns or layouts. May also mark and cut fabrics and apparel.	Automatic Fabric Cutter (Autocutter), Cutter, Designer, Fabric Cutter, Pattern Designer, Pattern Maker, Pattern Technician, Production Pattern Maker, Sewing Pattern Layout Technician, Technical Designer
Fiberglass Laminators and Fabricators	Fiberglass Laminators and Fabricators	Laminate layers of fiberglass on molds to form boat decks and hulls, bodies for golf carts, automobiles, or other products.	Boat Builder, Boat Carpenter, Chopper Gun Operator, Fiberglass Finisher, Fiberglass Laminator, Fiberglasser, Gel-Coater, Hull Line Crew Member, Laminator, Roller
First-Line Supervisors of Production and Operating Workers	First-Line Supervisors of Production and Operating Workers	Directly supervise and coordinate the activities of production and operating workers, such as inspectors, precision workers, machine setters and operators, assemblers, fabricators, and plant and system operators.	Assembly Supervisor, Department Manager, Manufacturing Supervisor, Molding Supervisor, Production Manager, Production Supervisor, Quality Assurance Supervisor (QA Supervisor), Shift Supervisor, Supervisor, Team Leader
Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders	Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders	Operate or tend food or tobacco roasting, baking, or drying equipment, including hearth ovens, kiln driers, roasters, char kilns, and vacuum drying equipment.	Bakery Utility Person, Bean Roaster, Coffee Roaster, Dryer Operator, Machine Operator, Oven Operator, Roaster, Roaster Operator, Roasterman, Roastmaster
Food Batchmakers	Food Batchmakers	Set up and operate equipment that mixes or blends ingredients used in the manufacturing of food products. Includes candy makers and cheese makers.	Batching Operator, Blender, Brewing Technician, Compounder, Dough Scaler and Mixer, Machine Operator, Mixer, Process Operator, Processing Operator, Syrup Maker
Food Cooking Machine Operators and Tenders	Food Cooking Machine Operators and Tenders	Operate or tend cooking equipment, such as steam cooking vats, deep fry cookers, pressure cookers, kettles, and boilers, to prepare food products.	Cook, Fryer Operator, Kettle Fry Cook Operator, Machine Operator, Master Cook, Mogul Operator, Peeler Operator, Processing Operator, Processor, Retort Operator
Food Processing Workers, All Other	Food Processing Workers, All Other	All food processing workers not listed separately.	none
Forging Machine Setters, Operators, and Tenders, Metal and Plastic	Forging Machine Setters, Operators, and Tenders, Metal and Plastic	Set up, operate, or tend forging machines to taper, shape, or form metal or plastic parts.	Blacksmith, Cold Header Operator, Forge Operator, Forge Press Operator, Forger, Hammer Operator, Header Set-Up Operator, Machine Operator, Process Technician, Set Up Technician
Foundry Mold and Coremakers	Foundry Mold and Coremakers	Make or form wax or sand cores or molds used in the production of metal castings in foundries.	Core Machine Operator, Core Maker, Core Setter, Core Stripper, Journeyman Molder, Laborer, Mold Maker, Molder, No Bake Molder, Sand Molder
Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders	Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders	Operate or tend heating equipment other than basic metal, plastic, or food processing equipment. Includes activities, such as annealing glass, drying lumber, curing rubber, removing moisture from materials, or boiling soap.	Annealing Operator, Control Room Operator, Dry Kiln Operator, Dryer Feeder, Evaporator Operator, Furnace Operator, Kiln Fireman, Kiln Operator, Lime Kiln and Recausticizing Operator, Oven Operator
Furniture Finishers	Furniture Finishers	Shape, finish, and refinish damaged, worn, or used furniture or new high-grade furniture to specified color or finish.	Finish Repair Worker, Furniture Finisher, Furniture Repairer, Hand Sander, Lacquer Sprayer, Sander, Sealer Sander, Sprayer, Stain Wiper, Utility Spray Operator
Gas Plant Operators	Gas Plant Operators	Distribute or process gas for utility companies and others by controlling compressors to maintain specified pressures on main pipelines.	Compressor Station Operator, Engine Room Operator, Gas Controller, Gas Dispatcher, Gas Plant Operator, Gas System Operator, Liquid Natural Gas Plant Operator (LNG Plant Operator), Liquified Natural Gas Specialist (LNG Specialist), Liquified Natural Gas Technician (LNG Technician), Plant Operator
Gem and Diamond Workers	Gem and Diamond Workers	Fabricate, finish, or evaluate the quality of gems and diamonds used in jewelry or industrial tools.	Diamond Cutter, Diamond Grader, Diamond Picker, Diamond Polisher, Diamond Sawer, Diamond Setter, Facetor, Gemologist, Lapidarist, Quality Control Specialist
Jewelers	Jewelers	Fabricate and repair jewelry articles. Make models or molds to create jewelry items.	Bench Jeweler, Earrings Fabricator, Gemologist, Goldsmith, Jeweler
Jewelers and Precious Stone and Metal Workers	Jewelers and Precious Stone and Metal Workers	Design, fabricate, adjust, repair, or appraise jewelry, gold, silver, other precious metals, or gems. Includes diamond polishers and gem cutters, and persons who perform precision casting and modeling of molds, casting metal in molds, or setting precious and semi-precious stones for jewelry and related products.	none
Precious Metal Workers	Precious Metal Workers	Cast, anneal, solder, hammer, or shape gold, silver, pewter or other metals to form jewelry or other metal items such as goblets or candlesticks.	Artist, Bench Mechanic, Caster, Fabricator, Goldsmith, Pewterer, Platinum Smith, Restoration Silversmith, Silversmith
Glass Blowers, Molders, Benders, and Finishers	Glass Blowers, Molders, Benders, and Finishers	Shape molten glass according to patterns.	Gaffer, Glass Bender, Glass Blower, Glass Lathe Operator, Glass Tube Bender, Glassblower, Machine Operator, Neon Glass Bender, Neon Tube Bender, Press Operator
Molders, Shapers, and Casters, Except Metal and Plastic	Molders, Shapers, and Casters, Except Metal and Plastic	Mold, shape, form, cast, or carve products such as food products, figurines, tile, pipes, and candles consisting of clay, glass, plaster, concrete, stone, or combinations of materials.	none
Molding and Casting Workers	Molding and Casting Workers	Perform a variety of duties such as mixing materials, assembling mold parts, filling molds, and stacking molds to mold and cast a wide range of products.	Bed Laborer, Caster, Fabricator, Injection Molding Machine Operator, Machine Operator, Mold Mechanic, Molder, Molding Line Assistant, Molding Line Operator, Press Operator
Potters, Manufacturing	Potters, Manufacturing	Operate production machines such as pug mill, jigger machine, or potter's wheel to process clay in manufacture of ceramic, pottery and stoneware products.	Clay Mixer, Glazer, Jigger Artisan, Jigger Machine Operator, Potter, Production Potter
Stone Cutters and Carvers, Manufacturing	Stone Cutters and Carvers, Manufacturing	Cut or carve stone according to diagrams and patterns.	Carver, Cutter, Fabricator, Granite Cutter, Polisher, Sandblast Carver, Sandblaster, Stone Carver, Stone Cutter, Stone Fabricator
Grinding and Polishing Workers, Hand	Grinding and Polishing Workers, Hand	Grind, sand, or polish, using hand tools or hand-held power tools, a variety of metal, wood, stone, clay, plastic, or glass objects. Includes chippers, buffers, and finishers.	Buffer, Casting Finisher, Chipper, Deburring Technician, Finisher, Grinder, Jewelry Polisher, Knife Grinder, Metal Finisher, Polisher
Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic	Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic	Set up, operate, or tend grinding and related tools that remove excess material or burrs from surfaces, sharpen edges or corners, or buff, hone, or polish metal or plastic work pieces.	Cell Operator, Centerless Grinder Operator, CNC Operator (Computer Numerically Controlled Operator), Deburrer, Die Maintenance Technician, Finisher, Grinder, Grinder Operator, Grinding Machine Operator, Process Equipment Operator
Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic	Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic	Set up, operate, or tend heating equipment, such as heat-treating furnaces, flame-hardening machines, induction machines, soaking pits, or vacuum equipment to temper, harden, anneal, or heat-treat metal or plastic objects.	Batch Heat Treat Operator, Burner, Coating Line Worker, Furnace Operator, Heat Treat Furnace Operator, Heat Treat Operator, Heat Treat Technician, Heat Treater, Machine Operator, Scarf and Anneal Operator
Helpers--Production Workers	Helpers--Production Workers	Help production workers by performing duties requiring less skill. Duties include supplying or holding materials or tools, and cleaning work area and equipment.	Assistant Operator, Helper, Laborer, Machine Operator, Material Handler, Press Helper, Production Worker, Service Person, Support Team Member, Utility Worker
Inspectors, Testers, Sorters, Samplers, and Weighers	Inspectors, Testers, Sorters, Samplers, and Weighers	Inspect, test, sort, sample, or weigh nonagricultural raw materials or processed, machined, fabricated, or assembled parts or products for defects, wear, and deviations from specifications. May use precision measuring instruments and complex test equipment.	Inspector, Picker / Packer, Quality Assurance Auditor, Quality Assurance Inspector, Quality Assurance Technician, Quality Auditor, Quality Control Inspector, Quality Control Technician, Quality Inspector, Quality Technician
Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic	Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic	Set up, operate, or tend lathe and turning machines to turn, bore, thread, form, or face metal or plastic materials, such as wire, rod, or bar stock.	Computer Numerical Control Lathe Operator (CNC Lathe Operator), Computer Numerical Control Operator (CNC Operator), Lathe Operator, Lathe Set Up Person, Machine Operator, Numerical Control Operator (NC Operator), Screw Machine Operator, Screw Machine Tool Setter, Set Up / Operator, Turn Operator
Laundry and Dry-Cleaning Workers	Laundry and Dry-Cleaning Workers	Operate or tend washing or dry-cleaning machines to wash or dry-clean industrial or household articles, such as cloth garments, suede, leather, furs, blankets, draperies, linens, rugs, and carpets. Includes spotters and dyers of these articles.	Dry Cleaner, Laundry Aide, Laundry Assistant, Laundry Attendant, Laundry Housekeeper, Laundry Technician, Laundry Worker, Machine Operator, Personal Clothing Laundry Aide, Spotter
Layout Workers, Metal and Plastic	Layout Workers, Metal and Plastic	Lay out reference points and dimensions on metal or plastic stock or workpieces, such as sheets, plates, tubes, structural shapes, castings, or machine parts, for further processing. Includes shipfitters.	Development Mechanic, Fabricator, Fitter, Layout Inspector, Layout Man, Layout Mechanic, Layout Technician, Layout Worker, Quality Technician, Ship Fitter
Machinists	Machinists	Set up and operate a variety of machine tools to produce precision parts and instruments. Includes precision instrument makers who fabricate, modify, or repair mechanical instruments. May also fabricate and modify parts to make or repair machine tools or maintain industrial machines, applying knowledge of mechanics, mathematics, metal properties, layout, and machining procedures.	Gear Machinist, Journeyman Machinist, Machine Operator, Machine Repair Person, Machinist, Maintenance Machinist, Maintenance Specialist, Production Machinist, Set-Up Machinist, Tool Room Machinist
Meat, Poultry, and Fish Cutters and Trimmers	Meat, Poultry, and Fish Cutters and Trimmers	Use hand or hand tools to perform routine cutting and trimming of meat, poultry, and seafood.	Breast Trimmer, Deboner, Meat Cutter, Trimmer, Wing Scorer
Medical Appliance Technicians	Medical Appliance Technicians	Construct, fit, maintain, or repair medical supportive devices, such as braces, orthotics and prosthetic devices, joints, arch supports, and other surgical and medical appliances.	Certified Pedorthotist, Hearing Aid Repair Technician, Lab Technician, Orthopedic Technician, Orthotic and Prosthetic Technician (O and P Technician), Orthotic and Prosthetic Technician (O&P Technician), Orthotic Technician, Prosthetic Technician, Prosthetics Technician, Registered Prosthetic Orthotic Technician
Metal Workers and Plastic Workers, All Other	Metal Workers and Plastic Workers, All Other	All metal workers and plastic workers not listed separately.	none
Metal-Refining Furnace Operators and Tenders	Metal-Refining Furnace Operators and Tenders	Operate or tend furnaces, such as gas, oil, coal, electric-arc or electric induction, open-hearth, or oxygen furnaces, to melt and refine metal before casting or to produce specified types of steel.	Arc / Argon Oxygen Decarborization Melter (ARC / AOD Melter), Automatic Furnace Operator, Central Melt Specialist, Control Room Operator, Direct Casting Operator, Electric Melt Operator, Melt Room Operator, Melt Supervisor, Utility Person, Vessel Operator
Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic	Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic	Set up, operate, or tend milling or planing machines to mill, plane, shape, groove, or profile metal or plastic work pieces.	CNC Machine Operator (Computerized Numerical Control Machine Operator), CNC Mill Operator (Computerized Numerical Control Mill Operator), CNC Mill Set Up Operator (Computerized Numerical Control Mill Set Up Operator), CNC Operator (Computerized Numerical Control Operator), CNC Programmer (Computerized Numerical Control Programmer), Machine Operator, Mill Operator, Miller, Milling Operator, Set Up Person
Mixing and Blending Machine Setters, Operators, and Tenders	Mixing and Blending Machine Setters, Operators, and Tenders	Set up, operate, or tend machines to mix or blend materials, such as chemicals, tobacco, liquids, color pigments, or explosive ingredients.	Blender, Blending Technician, Coater Operator, Ink Blender, Ink Maker, Issuing Operator, Machine Operator, Mixer, Mixer Operator, Stock Preparation Operator (Stock Prep Operator)
Model Makers, Metal and Plastic	Model Makers, Metal and Plastic	Set up and operate machines, such as lathes, milling and engraving machines, and jig borers to make working models of metal or plastic objects. Includes template makers.	Catalytic Converter Special Build Prototype, Computer Numerical Control Machinist (CNC Machinist), Computer Numerical Control Operator (CNC Operator), Fabricator, Metal Model Maker, Model Builder, Model Maker, Molding Technician, Pattern Finisher, Prototype Special Build
Model Makers, Wood	Model Makers, Wood	Construct full-size and scale wooden precision models of products. Includes wood jig builders and loft workers.	Craftsman, Model Builder, Model Maker, Product Development Carpenter, Sample Builder, Sample Maker, Sample Worker
Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic	Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic	Set up, operate, or tend metal or plastic molding, casting, or coremaking machines to mold or cast metal or thermoplastic parts or products.	Core Machine Operator, Die Cast Technician, Diecast Machine Operator, Machine Operator, Mold Setter, Mold Technician, Molder, Press Operator, Process Technician, Production Technician
Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic	Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic	Set up, operate, or tend more than one type of cutting or forming machine tool or robot.	Cell Technician, CNC Machine Setter (Computer Numerically Controlled Machine Setter), CNC Machinist (Computer Numerically Controlled Machinist), CNC Operator (Computer Numerically Controlled Operator), Die Setter, Machine Operator, Machine Technician, Machinist, Operator, Set-Up Person
Nuclear Power Reactor Operators	Nuclear Power Reactor Operators	Operate or control nuclear reactors. Move control rods, start and stop equipment, monitor and adjust controls, and record data in logs. Implement emergency procedures when needed. May respond to abnormalities, determine cause, and recommend corrective action.	Licensed Reactor Operator, Nuclear Control Operator, Nuclear Control Room Operator, Nuclear Plant Operator (NPO), Nuclear Power Reactor Operator, Nuclear Reactor Operator, Nuclear Station Operator (NSO), Nuclear Supervising Operator (NSO), Nuclear Unit Operator, Reactor Operator (RO)
Ophthalmic Laboratory Technicians	Ophthalmic Laboratory Technicians	Cut, grind, and polish eyeglasses, contact lenses, or other precision optical elements. Assemble and mount lenses into frames or process other optical elements. Includes precision lens polishers or grinders, centerer-edgers, and lens mounters.	Edger Technician, Finishing Lab Technician, Grinder, Lab Technician (Laboratory Technician), Lens Grinder and Polisher, Line Operator, Optical Lab Technician (Optical Laboratory Technician), Optical Technician, Polisher, Surfacing Technician
Packaging and Filling Machine Operators and Tenders	Packaging and Filling Machine Operators and Tenders	Operate or tend machines to prepare industrial or consumer products for storage or shipment. Includes cannery workers who pack food products.	A-Operator, Adjuster/Packer, Bundler, Chemical Operator, Closing Machine Operator, Fabrication Technician, Filler Operator, Machine Operator, Packaging Operator, Packing Machine Operator
Painters, Transportation Equipment	Painters, Transportation Equipment	Operate or tend painting machines to paint surfaces of transportation equipment, such as automobiles, buses, trucks, trains, boats, and airplanes. Includes painters in auto body repair facilities.	Auto Painter (Automobile Painter), Auto Refinisher (Automobile Refinisher), Automotive Paint Technician (Auto Paint Technician), Automotive Painter, Automotive Refinish Technician, Body Technician/Painter, Finish Painter, Paint Prepper, Paint Technician, Top Coater
Painting, Coating, and Decorating Workers	Painting, Coating, and Decorating Workers	Paint, coat, or decorate articles such as furniture, glass, plateware, pottery, jewelry, toys, books, or leather.	Artist, Decaler, Decorator, Glass Decorator, Glazer, In Mold Coater, Painter, Pottery Decorator, Silk-Screen Operator, Spray Painter
Paper Goods Machine Setters, Operators, and Tenders	Paper Goods Machine Setters, Operators, and Tenders	Set up, operate, or tend paper goods machines that perform a variety of functions, such as converting, sawing, corrugating, banding, wrapping, boxing, stitching, forming, or sealing paper or paperboard sheets into products.	Corrugator Operator, Folder Machine Operator, Gluer Machine Setup Operator, Knife Operator, Paper Cutter Operator, Paper Machine Backtender, Paper Machine Operator, Stitching Machine Operator, Winder Operator, Winderman
Patternmakers, Metal and Plastic	Patternmakers, Metal and Plastic	Lay out, machine, fit, and assemble castings and parts to metal or plastic foundry patterns, core boxes, or match plates.	Computer Numerical Control Operator (CNC Operator), Computer Numerical Control Programmer (CNC Programmer), Die Cast Die Maker, Fixture Builder, Journeyman Patternmaker, Machinist, Metal Pattern Maker, Model Maker, Pattern Maker, Pattern Repair Person
Patternmakers, Wood	Patternmakers, Wood	Plan, lay out, and construct wooden unit or sectional patterns used in forming sand molds for castings.	Apprentice Pattern Maker, Journeyman Patternmaker, Mold Maker, Pattern Maker, Wood Pattern Maker
